ticker,rows,headline_days,date_min,date_max,dev_rows,dev_headline_days
MRK,3299,1600,2009-07-27,2020-06-11,2854,1370
MS,3153,1387,2010-01-20,2020-06-11,2329,1085
MU,3139,1203,2011-04-20,2020-06-10,3021,1147
NVDA,3124,1194,2011-03-03,2020-06-10,2949,1126
M,3046,1291,2009-06-16,2020-06-11,2453,1039
EBAY,3013,1142,2011-10-13,2020-06-10,2908,1095
NFLX,3009,913,2016-08-23,2020-06-10,2749,834
GILD,2952,1333,2009-08-17,2020-06-10,2384,1135
VZ,2935,1308,2012-04-18,2020-06-11,2856,1266
JNJ,2920,1368,2011-06-14,2020-06-11,2754,1299
DAL,2906,1350,2009-08-14,2020-06-10,2214,1087
QCOM,2906,1203,2011-11-03,2020-06-08,2818,1152
BABA,2819,1072,2015-05-11,2020-06-10,2722,1019
QQQ,2772,1102,2011-03-16,2020-06-10,2687,1044
KO,2761,1400,2009-06-22,2020-06-11,2316,1162
ORCL,2681,1036,2011-01-25,2020-06-11,2592,991
FDX,2614,1118,2009-09-13,2020-06-09,2172,916
WFC,2610,1196,2011-12-20,2020-06-11,2425,1121
HD,2590,1207,2009-08-10,2020-06-10,2090,968
BBRY,2569,847,2011-12-01,2020-06-08,2523,820
JCP,2494,862,2012-12-31,2020-06-05,2409,827
BMY,2485,1280,2009-08-14,2020-06-09,2160,1092
AGN,2388,993,2009-08-14,2020-05-14,2273,913
LLY,2369,1203,2009-08-17,2020-06-11,2059,1025
CMG,2364,797,2013-01-21,2020-06-08,2255,747
CAT,2294,1025,2011-08-23,2020-06-08,2200,977
GPRO,2292,740,2014-07-15,2020-06-08,2255,721
TWX,2261,1112,2009-08-25,2019-06-07,2038,987
CHK,2237,1023,2009-09-23,2020-06-11,1814,825
FSLR,2224,917,2011-05-04,2020-05-26,2192,892
P,2210,811,2012-09-07,2019-02-01,2210,811
MCD,2208,938,2013-10-21,2020-06-11,2085,884
NOK,2179,1117,2009-08-10,2020-06-11,1775,889
EA,2156,1010,2009-08-16,2020-06-10,1817,843
EWU,2147,793,2009-09-22,2020-06-10,1930,701
MA,2144,1123,2009-08-07,2020-06-11,1620,894
LMT,2141,1186,2010-04-21,2020-06-11,1827,1023
